"No.","Time","Source","Destination","Protocol","Length","Info"
"12587","30.632840","192.168.100.6","202.28.77.115","TCP","66","62722  >  2033 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12589","30.633237","192.168.100.6","202.28.77.115","TCP","66","62723  >  3527 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12590","30.633748","192.168.100.6","202.28.77.115","TCP","66","62724  >  8007 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12591","30.634036","192.168.100.6","202.28.77.115","TCP","66","62725  >  20222 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12593","30.636006","192.168.100.6","202.28.77.115","TCP","66","62726  >  5004 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12594","30.636308","192.168.100.6","202.28.77.115","TCP","66","62727  >  4550 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12595","30.636655","192.168.100.6","202.28.77.115","TCP","66","62728  >  5962 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12596","30.637052","192.168.100.6","202.28.77.115","TCP","66","62729  >  1092 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12597","30.637363","192.168.100.6","202.28.77.115","TCP","66","62730  >  2170 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12598","30.637682","192.168.100.6","202.28.77.115","TCP","66","62731  >  1984 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12599","30.638005","192.168.100.6","202.28.77.115","TCP","66","62732  >  2222 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12600","30.638309","192.168.100.6","202.28.77.115","TCP","66","62733  >  1102 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12601","30.638591","192.168.100.6","202.28.77.115","TCP","66","62734  >  40193 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12606","30.638859","192.168.100.6","202.28.77.115","TCP","66","62735  >  9 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12607","30.639124","192.168.100.6","202.28.77.115","TCP","66","62736  >  8500 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12608","30.639393","192.168.100.6","202.28.77.115","TCP","66","62737  >  3827 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
